backend,n_src,n_per_leaf,digits,L,repeats,construct_s,outgoing_s,incoming_s,window_s,diff_s,residual_s,total_s
DIRECT,100000,200,3,46.415888,3,0.063638,0.117337,0.006081,0.000007,0.000322,1.784496,1.908243
PROXY,100000,200,3,46.415888,3,0.062013,0.028339,0.006120,0.000003,0.000364,1.781715,1.816541
