backend,n_src,n_per_leaf,digits,L,repeats,construct_s,outgoing_s,incoming_s,window_s,diff_s,residual_s,total_s
DIRECT,100000,200,3,46.415888,10,0.061945,0.128942,0.005995,0.000003,0.000316,1.801871,1.937128
PROXY,100000,200,3,46.415888,10,0.059843,0.025553,0.005963,0.000002,0.000354,1.802056,1.833928
